IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
0.0,9.8,3.77,6.5,7.916666667,7.946666667,5.0,6.518,-1
0.0,9.0,7.52,5.3,7.916666667,7.833333333,10.0,6.960333333,0
8.5,9.8,7.52,9.0,8.75,8.67,5.0,8.4712,-1
8.0,9.8,7.52,7.9,6.458333333,7.393333333,5.0,7.7167,-1
0.0,9.0,7.52,8.1,8.333333333,8.393333333,5.0,7.184,-1
9.5,9.0,3.77,6.5,7.083333333,7.113333333,5.0,7.0582,-1
9.5,5.6,3.14,6.7,7.5,6.836666667,5.0,6.331533333,-2
9.5,8.1,5.02,6.4,6.875,7.5,5.0,7.0297,-1
7.5,7.5,5.02,3.6,6.875,7.393333333,5.0,6.138366667,-1
9.0,7.9,3.77,5.0,7.291666667,7.616666667,5.0,6.6097,-2
0.0,8.0,3.14,7.4,7.5,7.223333333,5.0,6.078666667,-2
9.5,7.8,7.52,7.5,7.291666667,7.783333333,10.0,8.048033333,0
10.0,8.2,3.77,7.4,6.875,7.673333333,5.0,7.219366667,-1
0.0,9.1,6.27,8.6,8.958333333,8.616666667,10.0,7.776166667,0
8.5,7.6,3.14,6.8,7.5,7.45,5.0,6.7742,-1
0.0,5.6,3.14,6.4,6.666666667,6.89,5.0,5.248666667,-2
8.5,8.6,7.52,6.6,7.5,7.836666667,5.0,7.459533333,-2
0.0,7.2,7.52,5.5,7.291666667,7.276666667,5.0,5.9765,-1
10.0,9.6,7.52,8.5,9.0625,8.56,5.0,8.49045,-1
9.0,9.2,7.52,8.6,8.90625,8.39,5.0,8.270825,-1
0.0,7.0,7.52,3.5,7.8125,7.223333333,5.0,5.567916667,-1
8.5,8.4,7.52,7.2,8.28125,8.056666667,5.0,7.651658333,-1
8.5,9.6,7.52,8.1,7.96875,8.113333333,10.0,8.551741667,0
0.0,8.1,7.52,5.3,7.8125,7.723333333,5.0,6.247916667,-2
9.0,10.0,7.52,8.7,9.0625,8.336666667,10.0,8.955783333,0
10.0,9.1,3.14,5.8,7.8125,7.67,5.0,7.09945,-2
8.5,7.9,7.52,8.2,8.90625,8.62,5.0,7.926825,-1
9.5,8.9,7.52,9.4,8.28125,8.45,5.0,8.370325,-2
8.5,8.5,7.52,6.0,7.65625,8.223333333,5.0,7.402491667,-1
10.0,8.7,4.39,8.7,9.21875,8.336666667,5.0,8.008408333,-1
8.0,7.5,7.52,6.8,7.96875,8.17,5.0,7.333075,-1
10.0,7.5,7.52,6.2,7.96875,8.113333333,5.0,7.401741667,-1
7.9,9.8,2.52,6.9,7.65625,8.283333333,10.0,7.806091667,0
10.0,9.5,7.52,7.3,8.125,8.783333333,5.0,8.171366667,-1
9.0,8.5,7.52,8.8,7.916666667,8.67,5.0,8.137866667,-1
8.5,7.0,7.52,2.7,6.458333333,6.72,5.0,6.032033333,-1
0.0,8.1,7.52,7.4,7.083333333,8.286666667,5.0,6.707666667,-2
6.9,7.4,7.52,7.0,6.666666667,7.393333333,5.0,6.969133333,-1
9.0,9.6,7.52,8.0,7.916666667,8.116666667,5.0,8.0872,-1
9.0,9.7,7.52,8.4,8.333333333,8.12,5.0,8.219533333,-1
10.0,10.0,7.52,6.3,8.125,8.34,10.0,8.4827,0
10.0,9.4,7.52,7.5,7.916666667,7.95,5.0,8.013866667,-1
10.0,9.5,7.52,8.5,7.708333333,8.283333333,5.0,8.2697,-1
8.5,7.1,6.27,5.8,6.875,7.336666667,5.0,6.702033333,-1
